Date,Confirmed,Recovered,Deaths
30-Jan,1,0,0
31-Jan,0,0,0
01-Feb,0,0,0
02-Feb,1,0,0
03-Feb,1,0,0
04-Feb,0,0,0
05-Feb,0,0,0
06-Feb,0,0,0
07-Feb,0,0,0
08-Feb,0,0,0
09-Feb,0,0,0
10-Feb,0,0,0
11-Feb,0,0,0
12-Feb,0,0,0
13-Feb,0,1,0
14-Feb,0,0,0
15-Feb,0,0,0
16-Feb,0,1,0
17-Feb,0,0,0
18-Feb,0,0,0
19-Feb,0,0,0
20-Feb,0,1,0
21-Feb,0,0,0
22-Feb,0,0,0
23-Feb,0,0,0
24-Feb,0,0,0
25-Feb,0,0,0
26-Feb,0,0,0
27-Feb,0,0,0
28-Feb,0,0,0
29-Feb,0,0,0
01-Mar,0,0,0
02-Mar,2,0,0
03-Mar,1,0,0
04-Mar,22,0,0
05-Mar,2,0,0
06-Mar,1,0,0
07-Mar,3,0,0
08-Mar,5,0,0
09-Mar,9,0,0
10-Mar,15,1,0
11-Mar,8,0,0
12-Mar,10,0,1
13-Mar,10,6,0
14-Mar,11,0,1
15-Mar,10,3,0
16-Mar,14,1,0
17-Mar,20,1,1
18-Mar,25,0,0
19-Mar,27,5,1
20-Mar,58,3,0
21-Mar,78,0,0
22-Mar,69,0,3
23-Mar,94,2,2
24-Mar,74,15,1
25-Mar,86,3,1
26-Mar,73,7,5
27-Mar,153,25,3
28-Mar,136,10,5
29-Mar,120,17,3
30-Mar,187,35,14
31-Mar,309,13,6
01-Apr,424,19,6
02-Apr,486,22,16
03-Apr,560,39,14
04-Apr,579,56,13
05-Apr,609,43,22
06-Apr,484,65,16
07-Apr,573,75,27
08-Apr,565,96,20
09-Apr,813,70,46
10-Apr,871,151,22
11-Apr,854,186,41
12-Apr,758,114,42
13-Apr,1243,112,27
14-Apr,1031,167,37
15-Apr,886,144,27
16-Apr,1061,258,26
17-Apr,922,273,38
18-Apr,1371,426,35
19-Apr,1580,388,38
20-Apr,1239,419,33
21-Apr,1537,703,53
22-Apr,1292,394,36
23-Apr,1667,642,40
24-Apr,1408,484,59
25-Apr,1835,442,44
26-Apr,1607,585,56
27-Apr,1568,580,58
28-Apr,1902,636,69
29-Apr,1705,690,71
30-Apr,1801,630,75
01-May,2396,962,77
02-May,2564,831,92
03-May,2952,911,140
04-May,3656,1082,103
05-May,2971,1295,128
06-May,3602,1161,91
07-May,3344,1475,104
08-May,3339,1111,97
09-May,3175,1414,115
10-May,4311,1669,112
11-May,3592,1579,81
12-May,3562,1905,120
13-May,3726,1963,137
14-May,3991,1594,97
15-May,3808,2234,104
16-May,4794,4012,120
17-May,5049,2538,152
18-May,4628,2482,131
19-May,6154,3032,146
20-May,5720,3113,134
21-May,6023,3131,148
22-May,6536,3280,142
23-May,6667,2576,142
24-May,7111,3285,156
25-May,6414,3012,150
26-May,5907,3585,173
27-May,7246,3434,188
28-May,7254,3171,176
29-May,8138,11735,269
30-May,8364,4303,205
31-May,8789,4928,222
01-Jun,7723,3882,201
02-Jun,8812,4531,222
03-Jun,9689,3789,259
04-Jun,9847,4390,274
05-Jun,9472,4770,286
06-Jun,10408,5433,297
07-Jun,10882,5191,261
08-Jun,8536,5171,271
09-Jun,9981,5634,272
10-Jun,11156,6275,358
11-Jun,11135,6044,394
12-Jun,11306,7263,388
13-Jun,12039,8092,309
14-Jun,11405,7358,324
15-Jun,10032,10639,396
16-Jun,11086,7226,2004
17-Jun,13108,6890,341
18-Jun,13829,10741,343
19-Jun,14740,9029,364
20-Jun,15918,13974,308
21-Jun,15151,9075,426
22-Jun,13560,10879,312
23-Jun,15656,10462,468
24-Jun,16868,13089,424
25-Jun,18205,13983,401
26-Jun,18255,10246,381
27-Jun,20142,14229,414
28-Jun,19610,11631,384
29-Jun,18339,13497,417
30-Jun,18256,12565,506
01-Jul,19429,12064,438
02-Jul,21947,19999,378
03-Jul,22718,14417,444
04-Jul,24018,14746,611
05-Jul,23942,15829,421
06-Jul,22500,15315,473
07-Jul,23147,16836,479
08-Jul,25561,19508,492
09-Jul,25790,19408,479
10-Jul,27762,20289,520
11-Jul,27757,19981,543
12-Jul,29106,18198,500
13-Jul,28178,17683,541
14-Jul,29917,20977,587
15-Jul,32607,20646,614
16-Jul,35468,22867,680
17-Jul,34820,17476,676
18-Jul,37411,23583,543
19-Jul,40235,22730,675
20-Jul,36806,24303,596
21-Jul,39170,27589,671
22-Jul,45601,31875,1130
23-Jul,48443,33326,755
24-Jul,48888,32514,763
25-Jul,50072,37125,703
26-Jul,48932,31512,704
27-Jul,46484,34354,642
28-Jul,49631,35683,774
29-Jul,52479,32886,775
30-Jul,54968,37425,784
31-Jul,57486,36554,764
01-Aug,55117,51368,854
02-Aug,52672,40355,760
03-Aug,50488,43070,806
04-Aug,51282,51220,849
05-Aug,56626,45583,919
06-Aug,62170,50141,899
